"mouse_ID","Group","Sex","ctrl_injection_site","# Marbles Buried","Digging Duration","Grooming Duration","Rearing Duration","Thigmotaxis Duration (Phase1)","Thigmotaxis Duration (Phase2)","Thigmotaxis Duration (Phase3)","Thigmotaxis Duration (Phase4)","Avg Speed (Phase1)","Avg Speed (Phase2)","Avg Speed (Phase3)","Avg Speed (Phase4)","Distance Moved","Head Dip Count","Open Arm Entrance Count","Open Arm Duration","Total Licks","Sucrose Preference Ratio (Whole 2hrs)","First 30 min. Sucr. / Total Sucr.","Last 30 min. Sucr. / Total Sucr.","First 30 min. Water / Total Water","Last 30 min. Water / Total Water","First 30 min. Liquid / Total Liquid","Last 30 min. Liquid / Total Liquid","Sucr. Pref. Ratio (First 30 Mins.)","Sucr. Pref. Ratio (Last 30 Mins.)","Preference Change Index","Time to 50% Sucr. Lick","Time to 50% Water Lick","Norm. Food Consumption","Avg. Inter-Feeding Interval","Latency to First Feeding","Consumption Rate","Ratio of Early Feeding","Ratio of Late Feeding","Satiety Index","Time to 50% Feeding","Coeff. Var: Inter-Feeding Interval","Fear Cond.: Last Session Frz.","Context Recall: 1st Half Frz.","Context Recall: 2nd Half Frz.","Context Recall: dFrz. (1st Half - 2nd Half)","Context Recall: Frz. (Whole Session)","CS Recall: Pre-Onset Frz.","CS Recall: Frz. (First 2 Sessions)","CS Recall: Frz. (Last 2 Sessions)","CS Recall: First - Last","Active Coping Duration","Temporal AUC: Active Coping","Inactive Duration (Day1)","Inactive Duration (Day2)","Delta Inactive Duration (Day2 - Day1)","Temporal AUC: Inactive (Day1)","Temporal AUC: Inactive (Day2)"
"m26","MI_1","F",,14,0.2156,0.104,0.1181,228.066666666667,113.133333333333,165.4,88.6,2.18403896142374,2.14092479371851,2.35422335839235,2.23033819100545,18837.55858,10,6,43.4725,238,0.57563025210084,0.54014598540146,0.08029197080292,0.633663366336634,0.00990099009901,0.579831932773109,0.050420168067227,0.536231884057971,0.916666666666667,-0.261845386533666,1578.7395,883.336,1.42857142857143,269.44,0,0.216666666666667,14,4,0.555555555555556,1541,1.25689404336684,0.13,0.2358,0.1758,0.06,0.4116,0.1028,0.3654,0.3008,0.0646,0.2584,-4399.6425,0.4398,0.4724,0.0326,6812.49,2534.945
"m27","HPC_1","M",,10,0.227,0.0756,0.1174,173.566666666667,183.766666666667,168,228.633333333333,3.11774858414847,2.80729499274465,2.94412867702296,2.09893111826819,17499.95122,5,5,36.9422,119,0.857142857142857,0.490196078431373,0.372549019607843,0.529411764705882,0.352941176470588,0.495798319327731,0.369747899159664,0.847457627118644,0.863636363636364,-0.009455200360198,2855.5915,98.323,0.648854961832061,412.5,120,0.141666666666667,5,4,0.111111111111111,2932,1.23605842935168,0.0527,0.0391,0.069,-0.0299,0.1081,0.0093,0.5359,0.3137,0.2222,0.2011,-6906.2818,0.5846,0.7318,0.1472,3356.3311,1919.2995
"m28","BSLT_1","F",,9,0.1224,0.1034,0.1392,258.966666666667,181.666666666667,159.866666666667,152.366666666667,2.81160667617376,2.35650158803617,2.22130433052424,1.96420972385535,20799.09916,13,15,97.1723,289,0.335640138408304,0.195876288659794,0.144329896907216,0.541666666666667,0.119791666666667,0.42560553633218,0.1280276816609,0.154471544715447,0.378378378378378,-0.42020618556701,4211.0049,1612.9404,1.33333333333333,274.521739130435,439,0.2,7,3,0.4,2884,0.829922071025178,0.3394,0.0854,0.1651,-0.0797,0.2505,0.0197,0.285,0.3368,-0.0518,0.3478,-2864.1646,0.3574,0.6078,0.2504,8118.4089,3799.1502
"m29","BG_1","F",,3,0.0755,0.0526,0.1318,141.1,186.366666666667,317.866666666667,246.233333333333,1.66144051754678,1.41828794895006,1.37374552588689,1.12232639963422,13781.18487,7,8,86.842,67,0.746268656716418,0.42,0.32,1,0,0.567164179104478,0.238805970149254,0.552631578947368,1,-0.288135593220339,1812.1622,752.4487,1.79347826086957,213,194,0.275,12,7,0.263157894736842,3926,1.04768868789247,0.4741,0.2119,0.3786,-0.1667,0.5905,0.0622,0.4945,0.4101,0.0844,0.7616,-158.6666,0.258,0.2325,-0.0255,7949.3542,5772.5849
"m30","BG_1","F",,10,0.1203,0.1294,0.1417,235.533333333333,186.766666666667,152.966666666667,87.0333333333333,2.31529828555828,1.4898533561589,1.63715000160919,1.14241493372389,17118.80734,14,12,133.8592,297,0.592592592592593,0.153409090909091,0.403409090909091,0.578512396694215,0.148760330578512,0.326599326599327,0.2996632996633,0.278350515463918,0.797752808988764,-0.482669537136706,5077.8754,1479.5886,2.69662921348315,148.021276595745,72,0.4,20,12,0.25,2690,1.38410868074791,0.3808,0.0072,0.0313,-0.0241,0.0385,0.0242,0.2975,0.0304,0.2671,0.5127,-23.5829,0.1611,0.2115,0.0504,8514.0061,2187.4697
"m31","MI_1","F",,4,0.1107,0.0973,0.1903,269.9,149.633333333333,168.366666666667,139.333333333333,2.20937456907065,1.60481031240678,1.97551787062535,1.58211703057448,15195.9627,2,5,28.8917,279,0.878136200716846,0.208163265306122,0.387755102040816,0.764705882352941,0.029411764705882,0.275985663082437,0.344086021505376,0.662337662337662,0.989583333333333,-0.198100073704037,3416.2699,876.1581,0.941176470588235,426.8,587,0.133333333333333,3,7,-0.4,4770,0.843618520321746,0.2649,0.3206,0.3694,-0.0488,0.69,0.2864,0.4279,0.4102,0.0177,0.2061,-1654.2452,0.5157,0.6744,0.1587,5004.6395,2676.7828
"m32","MI_1","M",,10,0.1765,0.1151,0.1378,223.2,179.166666666667,256.366666666667,107.7,2.16827725903093,1.68741379842223,2.02460448364247,1.64309440024631,15950.43917,2,4,32.5873,422,0.78436018957346,0.389728096676737,0.332326283987915,0.538461538461538,0.076923076923077,0.421800947867299,0.277251184834123,0.724719101123595,0.94017094017094,-0.129409050269662,3787.9946,1326.9849,0.571428571428571,434.909090909091,1320,0.1,2,1,0.333333333333333,3520,0.785453291805946,0.3605,0.3147,0.4446,-0.1299,0.7593,0.1101,0.3337,0.687,-0.3533,0.1749,-6473.4699,0.6599,0.7214,0.0615,4329.7266,2031.8569
"m33","CTRL_1","F","CTX_1",0,0.0502,0.0408,0.1501,194.5,142.8,166.5,173.566666666667,4.1086693400816,2.84767099460967,2.96676523506009,2.40024183134612,10290.93009,10,8,151.5812,88,0.602272727272727,0.226415094339623,0.39622641509434,0.857142857142857,0.114285714285714,0.477272727272727,0.284090909090909,0.285714285714286,0.84,-0.49238578680203,3905.6634,626.9167,0.674846625766871,161.1,4554,0.091666666666667,0,4,-1,5328,1.47877544278426,0.2019,0.1539,0.1614,-0.0075,0.3153,0.0239,0.3006,0.2252,0.0754,0.2662,-6596.8852,0.4078,0.4273,0.0195,6312.084,5479.8605
"m34","CTRL_1","F","BG_1",0,0.0524,0.0514,0.2145,285.266666666667,202.1,265.6,220.9,3.13857108061128,2.17708251936828,2.19861276549603,1.69915504633523,22695.71945,20,11,109.7606,661,0.883509833585477,0.292808219178082,0.280821917808219,0.350649350649351,0.181818181818182,0.299546142208775,0.26928895612708,0.863636363636364,0.921348314606742,-0.032331902718169,4180.7515,2223.623,1.80790960451977,229.258064516129,0,0.266666666666667,12,7,0.263157894736842,2532,1.20766469895715,0.3058,0.1403,0.0849,0.0554,0.2252,0.0242,0.3357,0.3856,-0.0499,0.5228,-1902.5103,0.2158,0.212,-0.0038,7988.8877,8893.6312
"m35","CTRL_1","F","HPC_1",5,0.1185,0.062,0.1659,192,141.833333333333,138.433333333333,191.6,3.51418837327271,2.49465013353241,2.86931157872296,1.88847006943509,27726.08294,23,19,146.2061,194,0.649484536082474,0.5,0.182539682539683,0.514705882352941,0,0.505154639175258,0.118556701030928,0.642857142857143,1,-0.217391304347826,1741.7346,1366.2517,1.66666666666667,235.620689655172,294,0.25,13,4,0.529411764705882,2186,1.21771841179321,0.0833,0.0782,0.2036,-0.1254,0.2818,0.0034,0.083,0.1309,-0.0479,0.3404,-833.3616,0.6239,0.5321,-0.0918,4561.143,3075.5793
"m36","MI_1","F",,17,0.2895,0.0557,0.0714,92.9,30.3666666666667,161.333333333333,460.233333333333,1.71921693932375,1.06292268831186,1.4641775605638,0.897294184464887,23402.03402,44,11,170.1599,34,0.264705882352941,0.222222222222222,0,0.28,0.56,0.264705882352941,0.411764705882353,0.222222222222222,0,1,3256.9694,5751.8009,0.888888888888889,339.894736842105,173,0.166666666666667,5,4,0.111111111111111,2749,1.20179611870264,0.0461,0.0478,0.0628,-0.015,0.1106,0.0034,0.1412,0.0711,0.0701,0.1859,-82.7921,0.1417,0.3058,0.1641,3160.1552,6017.3112
"m37","CTX_1","F",,6,0.1574,0.1117,0.1316,143.5,112.133333333333,167.9,193.933333333333,2.66016309706449,1.60958067618635,1.92895443856276,1.6726697231594,18785.52938,2,4,19.0323,173,0.531791907514451,0.315217391304348,0.228260869565217,0.296296296296296,0.283950617283951,0.30635838150289,0.254335260115607,0.547169811320755,0.477272727272727,0.068229384679782,2987.5602,2870.455,0.047846889952153,"NaN",3918,0.008333333333333,0,0,"NaN",3918,"NaN",0.4607,0.0729,0.2692,-0.1963,0.3421,0.0042,0.19,0.1458,0.0442,0.2976,-5172.8981,0.7263,0.6331,-0.0932,3497.3556,776.645
"m38","MI_1","F",,9,0.1855,0.1061,0.0872,192.433333333333,124.1,187.933333333333,73.6666666666667,2.87253791964758,2.6105804019067,2.57774804999203,1.72191621117037,19216.27002,2,2,11.9434,212,0.632075471698113,0.626865671641791,0.029850746268657,0.833333333333333,0.08974358974359,0.702830188679245,0.05188679245283,0.563758389261745,0.363636363636364,0.21578947368421,1618.9557,709.4337,0.571428571428571,500.090909090909,358,0.1,6,1,0.714285714285714,1623,0.719204180977562,0.1992,0.1472,0.2715,-0.1243,0.4187,0.0037,0.3914,0.2319,0.1595,0.2297,-5152.4329,0.2477,0.4725,0.2248,5403.054,2028.7276
"m39","CTX_1","F",,12,0.1771,0.1096,0.1179,295.233333333333,203.9,306.766666666667,170.333333333333,2.31113076729769,1.63478022678799,2.05326469234803,1.68687692950664,16829.40364,2,1,7.6612,92,0.33695652173913,0.354838709677419,0,0.213114754098361,0.245901639344262,0.260869565217391,0.16304347826087,0.458333333333333,0,1,1937.3429,3158.1779,0.120967741935484,442,2738,0.025,0,0,"NaN",2893,0.918278942083887,0.3137,0.2099,0.2536,-0.0437,0.4635,0.0691,0.2612,0.2769,-0.0157,0.2676,-3909.5184,0.6742,0.7849,0.1107,3028.4262,866.7705
"m40","MI_1","M",,13,0.2195,0.1499,0.1148,253.466666666667,210.3,256.633333333333,291.666666666667,1.91630566266803,1.94048044186354,1.79145267714369,1.28748243760923,15278.97424,3,1,13.4719,167,0.419161676646707,0.571428571428571,0.614285714285714,0.835051546391753,0.237113402061856,0.724550898203593,0.395209580838323,0.330578512396694,0.651515151515151,-0.326788218793829,1671.4574,1028.1335,0.905797101449275,276.416666666667,202,0.208333333333333,11,3,0.571428571428571,2242,1.22289866910651,0.1068,0.1789,0.1842,-0.0053,0.3631,0.0634,0.1487,0.151,-0.0023,0.3401,-2290.9129,0.7239,0.6286,-0.0953,3155.2573,-99.4092
"m41","MI_1","M",,10,0.1896,0.1436,0.1156,228.5,129.9,235.266666666667,207.166666666667,2.01633850525964,1.57473676460189,1.44984353325981,1.14127122265601,13410.88377,7,2,26.7165,285,0.445614035087719,0.236220472440945,0.464566929133858,0.588607594936709,0.09493670886076,0.431578947368421,0.259649122807018,0.24390243902439,0.797297297297297,-0.531497309275087,4351.3906,1147.1265,0.24822695035461,723.166666666667,479,0.058333333333333,1,0,1,2554,1.2341751024709,0.2806,0.3512,0.3084,0.0428,0.6596,0.0344,0.3695,0.4088,-0.0393,0.3684,1933.8957,0.6733,0.7688,0.0955,3786.5002,1385.5347
"m42","CTX_1","M",,8,0.1184,0.1267,0.1264,200.6,233.733333333333,238.933333333333,231.233333333333,2.36112063832735,1.96265544025859,2.3572738436445,1.91242925208547,17315.26052,4,3,20.4164,171,0.64327485380117,0.518181818181818,0.236363636363636,0.311475409836066,0.131147540983607,0.444444444444444,0.198830409356725,0.75,0.764705882352941,-0.009708737864078,1787.8093,3934.3476,0.559440559440559,418.933333333333,848,0.133333333333333,8,2,0.6,1444,1.25796204294023,0.1289,0.1546,0.2189,-0.0643,0.3735,0.0618,0.3817,0.2786,0.1031,0.2533,-2434.0947,0.5934,0.8199,0.2265,3046.3494,1399.0267
"m43","CTX_1","M",,6,0.1156,0.1695,0.1387,205.9,122.666666666667,191.933333333333,168.333333333333,2.63855558339512,2.15355160787479,2.36509757664586,1.92422734690316,18684.85528,2,2,11.3185,176,0.125,0.272727272727273,0,0.844155844155844,0.012987012987013,0.772727272727273,0.011363636363636,0.044117647058824,0,1,3410.1642,1034.3467,0.592592592592593,440.8,173,0.133333333333333,6,2,0.5,2272,1.23981484610898,0.5823,0.302,0.2792,0.0228,0.5812,0.0544,0.7308,0.7642,-0.0334,0.2484,-4811.6927,0.3841,0.6659,0.2818,7466.3848,2194.018
"m44","CTX_1","M",,13,0.2215,0.1252,0.1017,258.233333333333,177.666666666667,249.566666666667,202.833333333333,2.22469810059284,1.45798623341372,1.65418790323019,1.50021329068994,13779.12871,2,3,10.2511,188,0.473404255319149,0.269662921348315,0.044943820224719,0.242424242424242,0.161616161616162,0.25531914893617,0.106382978723404,0.5,0.2,0.428571428571429,2083.3355,2508.8082,0.457746478873239,431.666666666667,400,0.108333333333333,5,2,0.428571428571429,2138,1.05067339787924,0.3622,0.2608,0.2078,0.053,0.4686,0.0329,0.318,0.2561,0.0619,0.2882,-2540.6967,0.6237,0.7446,0.1209,3600.6169,998.1411
"m45","MI_1","M",,15,0.2224,0.1094,0.0952,279.133333333333,306.333333333333,288.833333333333,283.833333333333,2.07780951094705,1.66590287973021,1.87392878750029,1.23703173413239,14063.68418,9,3,43.6658,183,0.530054644808743,0.041237113402062,0.917525773195876,0.081395348837209,0.918604651162791,0.060109289617486,0.918032786885246,0.363636363636364,0.529761904761905,-0.185947910357359,6477.8968,6330.6699,1.44578313253012,169.714285714286,382,0.3,12,5,0.411764705882353,2723,1.25314238776825,0.2567,0.3938,0.3543,0.0395,0.7481,0.0891,0.3976,0.2481,0.1495,0.2814,-3144.9834,0.6079,0.5572,-0.0507,5240.183,816.3149
"m46","HPC_1","M",,8,0.1306,0.0494,0.0963,195.1,146.5,150.266666666667,112.766666666667,2.96296958747454,2.50407593461307,3.16606037482546,2.59927066807134,14327.97088,10,10,184.6351,215,0.553488372093023,0.394957983193277,0.100840336134454,0.604166666666667,0.125,0.488372093023256,0.111627906976744,0.447619047619048,0.5,-0.055276381909548,2289.0691,1026.8362,0.794223826714802,309.047619047619,673,0.183333333333333,7,7,0,4782,1.42995192329603,0.1772,0.2273,0.3554,-0.1281,0.5827,0.0896,0.1802,0.1473,0.0329,0.2924,-779.1132,0.6307,0.6018,-0.0289,4008.7335,1625.677
"m47","BSLT_2","F",,12,0.1644,0.1055,0.1353,226.9,168.9,187.1,221.2,2.71893695994338,2.01394996568588,2.27865562090687,1.63616720232991,18445.86815,15,13,115.9787,152,0.638157894736842,0.123711340206186,0.298969072164948,0.381818181818182,0.090909090909091,0.217105263157895,0.223684210526316,0.363636363636364,0.852941176470588,-0.402197802197802,3939.1392,2400.5103,0.049751243781095,"NaN",2067,0.008333333333333,0,0,"NaN",2067,"NaN",0.6906,0.2875,0.3302,-0.0427,0.6177,0.1343,0.571,0.2523,0.3187,0.2372,1989.6757,0.6863,0.7438,0.0575,3417.5967,1918.0994
"m48","CTX_1","F",,10,0.1994,0.087,0.1661,167.466666666667,104,278.566666666667,261.333333333333,2.08534745460745,1.51661678262364,1.57235463015434,1.32531977588097,16231.65802,2,4,30.6054,186,0.532258064516129,0.454545454545455,0.04040404040404,0.436781609195402,0.149425287356322,0.446236559139785,0.091397849462366,0.542168674698795,0.235294117647059,0.394712853236098,1809.8546,2111.7354,2.68156424581006,138.808510638298,504,0.4,15,13,0.071428571428571,2735,1.13283439701958,0.2912,0.1586,0.2019,-0.0433,0.3605,0.0289,0.6199,0.4858,0.1341,0.215,-7112.8558,0.6285,0.7223,0.0938,3194.2291,828.1926
"m49","HPC_1","F",,11,0.1617,0.0795,0.1281,218.966666666667,217.166666666667,259.566666666667,186.466666666667,3.77229217377348,2.59863487397877,2.76593024421537,2.41111174851737,22679.14185,8,13,89.1395,123,0.650406504065041,0.275,0.425,0.581395348837209,0.093023255813954,0.382113821138211,0.308943089430894,0.468085106382979,0.894736842105263,-0.313064913722268,2325.7791,1494.6957,2.9608938547486,134.403846153846,196,0.441666666666667,17,19,-0.055555555555556,4623,1.3378779878683,0.1914,0.2394,0.3088,-0.0694,0.5482,0.0187,0.4989,0.3677,0.1312,0.3782,475.9246,0.65,0.7398,0.0898,3870.1276,639.5346
"m50","BSLT_1","M",,7,0.1353,0.1058,0.1192,223.966666666667,158.433333333333,237.466666666667,162.9,2.66071382236354,2.09460451125999,1.83555689646252,1.14260556530943,14719.43224,3,6,23.8341,209,0.617224880382775,0.418604651162791,0.356589147286822,0.725,0.1625,0.535885167464115,0.282296650717703,0.482142857142857,0.779661016949153,-0.235787958743104,1973.8243,1120.3646,2.60504201680672,112.508196721311,179,0.516666666666667,22,10,0.375,2500,1.23364565139266,0.3152,0.3289,0.5649,-0.236,0.8938,0.1226,0.5922,0.7604,-0.1682,0.2935,-2770.2925,0.5397,0.6128,0.0731,5505.5733,2485.9664
"m51","BSLT_2","M",,5,0.147,0.0717,0.1078,200.066666666667,134.2,183.066666666667,198.133333333333,3.17363169497421,2.16736726684046,2.19625025665598,1.25756940361773,20276.97106,13,6,31.7341,126,0.825396825396825,0.971153846153846,0.019230769230769,0.909090909090909,0.090909090909091,0.96031746031746,0.031746031746032,0.834710743801653,0.5,0.250773993808049,680.4672,523.1776,1.37795275590551,197.735294117647,0,0.291666666666667,20,2,0.818181818181818,1497,1.61899994073208,0.1929,0.1408,0.4276,-0.2868,0.5684,0.0246,0.5779,0.3566,0.2213,0.1819,-4189.165,0.5679,0.8094,0.2415,2019.1878,1649.0614
